journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis	isbn
Jornal Brasileiro de Pneumologia	2019-10-17	2020-02-11	NA	10.1590/1806-3713/e20180311	2023-05-10	1806-3756,1806-3713	5	2019	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	29	29	6	Pulmonary and Respiratory Medicine	Mecânica respiratória de pacientes com obesidade mórbida	journal-article	http://dx.doi.org/10.1590/1806-3713/e20180311	45	J. bras. pneumol.	2019	NA	NA	NA	NA	NA	Mauricio de Sant’Anna Jr, Renata Ferreira Carvalhal, Fernando da Franca Bastos de Oliveira, Walter Araújo Zin, Agnaldo José Lopes, Jocemir Ronaldo Lugon, Fernando Silva Guimarães	2019	6	TRUE	3.0	0.409	B1	NA
Clinical Practice &amp; Epidemiology in Mental Health	2016-03-15	2019-04-04	2016-03-15	10.2174/1745017901612010009	2023-03-02	1745-0179	1	2016-03-15	965	9-13	10.2174	Bentham Science Publishers Ltd.	1	Crossref	37	37	6	Psychiatry and Mental health,Epidemiology	Mental Practice Combined with Motor Rehabilitation to Treat Upper Limb Hemiparesis of Post-Stroke Patients: Clinical and Experimental Evidence	journal-article	http://dx.doi.org/10.2174/1745017901612010009	12	CPEMH	NA	en	http://dx.doi.org/10.2174/crossmark_policy	NA	NA	NA	Sergio Machado, Eduardo Lattari, Flávia Paes, Nuno B.F. Rocha, Antonio E. Nardi, Oscar Arias-Carrión, Gioia Mura, Ti-Fei Yuan, Mauro G. Carta, Carlos Campos	2016	6	TRUE	5.1	0.906	A4	NA
Fisioterapia e Pesquisa	2012-04-14	2017-05-27	2009-12	10.1590/s1809-29502009000400014	2023-04-15	1809-2950	4	2009-12	530	363-367	10.1590	FapUNIFESP (SciELO)	1	Crossref	25	25	1	General Medicine	Mobilização do osso pisiforme no tratamento da neuropraxia do nervo ulnar no canal de Guyon: relato de caso	journal-article	http://dx.doi.org/10.1590/s1809-29502009000400014	16	Fisioter. Pesqui.	NA	NA	NA	NA	NA	NA	Júlio Guilherme Silva, Reny de Souza Antonioli, Marco Orsini, Marcos Antônio Júlio dos Santos Júnior, Arthur de Sá Ferreira	2009	1	TRUE	NA	NA	B1	NA
Experimental Brain Research	2010-11-02	2019-06-06	2011-01	10.1007/s00221-010-2448-3	2023-05-01	0014-4819,1432-1106	1	2010-11-03	297	11-19	10.1007	Springer Science and Business Media LLC	1	Crossref	60	60	31	General Neuroscience	Modulation of the response to a somatosensory stimulation of the hand during the observation of manual actions	journal-article	http://dx.doi.org/10.1007/s00221-010-2448-3	208	Exp Brain Res	2010-11-03	en	NA	NA	NA	NA	Julien I. A. Voisin, Erika C. Rodrigues, Sébastien Hétu, Philip L. Jackson, Claudia D. Vargas, Francine Malouin, C. Elaine Chapman, Catherine Mercier	2010	31	TRUE	3.5	0.662	B1	NA
International Journal of Therapy and Rehabilitation	2019-05-16	2022-05-24	2019-04-02	10.12968/ijtr.2017.0170	2022-05-24	1759-779X	4	2019-04-02	5130	1-12	10.12968	Mark Allen Group	1	Crossref	37	37	1	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Motor recovery after bilateral brachial plexus injury using motor irradiation: a case report	journal-article	http://dx.doi.org/10.12968/ijtr.2017.0170	26	International Journal of Therapy and Rehabilitation	NA	en	NA	NA	NA	NA	Laura Alice Santos de Oliveira, Carla Andressa Pedron, Fernanda Guimarães de Andrade, Carlos Henrique Ramos Horsczaruk, José Vicente Pereira Martins	2019	2	FALSE	0.6	0.15	B1	NA
Acta Ortopédica Brasileira	2014-03-31	2019-08-09	2014	10.1590/s1413-78522014000100010	2023-01-31	1413-7852	1	2014	530	54-58	10.1590	FapUNIFESP (SciELO)	1	Crossref	23	23	10	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Muscle performance, body fat, pain and function in the elderly with arthritis	journal-article	http://dx.doi.org/10.1590/s1413-78522014000100010	22	Acta ortop. bras.	NA	NA	NA	NA	NA	NA	Wagner Teixeira dos Santos, Erika de Carvalho Rodrigues, Míriam Raquel Meira Mainenti	2014	10	TRUE	1.0	0.286	B1	NA
Perceptual and Motor Skills	2023-06-09	2023-06-09	NA	10.1177/00315125231182725	2023-06-09	0031-5125,1558-688X	NA	2023-06-08	179	003151252311827	10.1177	SAGE Publications	1	Crossref	41	41	0	Sensory Systems,Experimental and Cognitive Psychology	Musculoskeletal Injury Prevalence, Pain Perception, and Physical Activity Level Among Brazilian Strength and Cross-Training Practitioners	journal-article	http://dx.doi.org/10.1177/00315125231182725	NA	Percept Mot Skills	2023-06-08	en	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	Olga Thainá Mendes de Carvalho, Bruna Augusta Alves da Silva, Victor Gonçalves Corrêa Neto, Jason B. Winchester, Silvio Rodrigues Marques Neto, Andressa Silva, Alexsandro Oliveira, Fábio Feitosa, Jefferson da Silva Novaes, Estêvão Rios Monteiro	2023	0	FALSE	2.8	0.465	B1	NA
Revista Neurociências	2013-04-16	2020-02-28	NA	10.4181/rnc.2013.21.810.7p	2022-04-01	0104-3579,1984-4905	NA	2013-04-16	19929	148-154	10.34024	Universidade Federal de Sao Paulo	1	Crossref	0	0	0	Neurology (clinical),Neurology	Neurociências no Brasil: Vocação do Pesquisador ou Sobrevivência Acadêmica?	journal-article	http://dx.doi.org/10.4181/rnc.2013.21.810.7p	21	RNC	2013-04-16	NA	NA	NA	NA	NA	Marco Orsini, Carlos Reis, Marco Leite, Júlio Silva, Osvaldo Nascimento, Clynton Corrêa, Luciane Carvalho, Marcos Freitas, Jano Souza, Acary Oliveira, Giseli Quintanilha, Sara Menezes, João Pereira	2013	0	TRUE	NA	NA	B2	NA
Sport Sciences for Health	2021-05-03	2021-11-25	2021-12	10.1007/s11332-021-00769-0	2022-03-31	1824-7490,1825-1234	4	2021-05-03	297	1017-1024	10.1007	Springer Science and Business Media LLC	1	Crossref	35	35	0	Orthopedics and Sports Medicine	Neuromuscular and functional responses in professional soccer players during pre-season: implications for injury prevention	journal-article	http://dx.doi.org/10.1007/s11332-021-00769-0	17	Sport Sci Health	2021-05-03	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Alex Souto Maior, Rafael Teixeira Lopes	2021	0	FALSE	2.3	0.398	B1	NA
Fisioterapia em Movimento	2021-12-15	2021-12-15	NA	10.1590/fm.2021.34123	2022-04-05	1980-5918	NA	2021	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	0	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Non-ataxia signs in Brazilian individuals with spinocerebellar ataxia type 3	journal-article	http://dx.doi.org/10.1590/fm.2021.34123	34	Fisioter. mov.	2021	NA	NA	NA	NA	NA	Camilla Polonini Martins, Mariana da Silva Salvino Klem Galvez, Yuri Rodrigues Luz de Araujo, Leda Maria Neumann Keim, Fernanda Baseggio Lopes Figueiredo, Laura Alice Santos de Oliveira	2021	0	TRUE	0.3	0.131	B1	NA
Journal of Physical Therapy Science	2013-12-10	2022-03-19	2013	10.1589/jpts.25.1497	2023-05-22	0915-5287,2187-5626	11	2013	533	1497-1501	10.1589	Society of Physical Therapy Science	1	Crossref	35	35	15	Physical Therapy, Sports Therapy and Rehabilitation	On the Functional Capacity and Quality of Life of Patients with Acromegaly: Are They Candidates for Rehabilitation Programs?	journal-article	http://dx.doi.org/10.1589/jpts.25.1497	25	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Débora Pedroza Guedes da Silva, Fernando Silva Guimarães, Cristina Márcia Dias, Simone de Araujo Guimarães, Leandro Kasuki, Mônica Roberto Gadelha, Gustavo Bittencourt Camilo, Agnaldo José Lopes	2013	15	TRUE	NA	NA	C	NA
The Journal of Sports Medicine and Physical Fitness	2019-01-21	2022-09-10	2019-01	10.23736/s0022-4707.18.08030-1	2022-09-10	0022-4707,1827-1928	2	2019-01	17149	NA	10.23736	Edizioni Minerva Medica	1	Crossref	38	38	1	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Oxidative stress biomarkers after a single maximal test in blind and non-blind soccer players	journal-article	http://dx.doi.org/10.23736/s0022-4707.18.08030-1	59	J Sports Med Phys Fitness	NA	NA	NA	NA	NA	NA	Diego Viana Gomes, Patricia Santos Vigário, Bruna K. Lima Piazera, Filipe Pereira Costa, Mario Vaisman, Veronica Salerno Pinto	2019	1	FALSE	3.3	0.496	A4	NA
Brazilian Journal of Medical and Biological Research	2016-07-27	2020-02-07	NA	10.1590/1414-431x20165200	2022-06-24	1414-431X,0100-879X	8	2016	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	40	40	3	Cell Biology,General Pharmacology, Toxicology and Pharmaceutics,General Medicine,Immunology,Physiology,Biochemistry,General Neuroscience,Biophysics,Automotive Engineering	Oxygen uptake, respiratory exchange ratio, or total distance: a comparison of methods to equalize exercise volume in Wistar rats	journal-article	http://dx.doi.org/10.1590/1414-431x20165200	49	Braz J Med Biol Res	2016	NA	NA	NA	NA	NA	L.S. Paes, J.P. Borges, F.A. Cunha, M.G.C. Souza, F.Z.G.A. Cyrino, D.A. Bottino, E. Bouskela, P. Farinatti	2016	3	TRUE	4.5	0.528	A3	NA
Revista Brasileira de Ginecologia e Obstetrícia	2009-08-06	2016-12-15	NA	10.1590/s0100-72032009000500004	2023-03-25	0100-7203	5	2009-05	530	224-229	10.1590	FapUNIFESP (SciELO)	1	Crossref	0	0	8	Obstetrics and Gynecology	Padrão da atividade mioelétrica dos músculos da cintura escapular após linfadenectomia axilar no câncer de mama	journal-article	http://dx.doi.org/10.1590/s0100-72032009000500004	31	Rev. Bras. Ginecol. Obstet.	2009-05	en	NA	NA	NA	NA	Thiago Bezerra Pereira, Anke Bergmann, Ana Carolina Padula Ribeiro, Júlio Guilherme da Silva, Ricardo Dias, Maria Justina Padula Ribeiro, Luiz Claudio Santos Thuler	2009	8	TRUE	1.7	0.295	B1	NA
Revista Dor	2014-08-29	2016-12-26	2014	10.5935/1806-0013.20140044	2022-04-01	1806-0013	3	2014	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	2	Insect Science,Ecology,Ecology, Evolution, Behavior and Systematics	Pain intensity and functional limitation are not related with medical image findings in patients with shoulder pain	journal-article	http://dx.doi.org/10.5935/1806-0013.20140044	15	NA	NA	en	NA	NA	NA	NA	Francine Aparecida Coelho de Oliveira, Renato Santos de Almeida, Wagner Teixeira dos Santos, Leandro Alberto Calazans Nogueira	2014	2	TRUE	NA	NA	A3	NA
Journal of Physical Therapy Science	2014-04-22	2021-04-27	2014	10.1589/jpts.26.567	2022-10-02	0915-5287,2187-5626	4	2014	533	567-573	10.1589	Society of Physical Therapy Science	1	Crossref	28	28	10	Physical Therapy, Sports Therapy and Rehabilitation	Pain, Work-related Characteristics, and Psychosocial Factors among Computer          Workers at a University Center	journal-article	http://dx.doi.org/10.1589/jpts.26.567	26	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Míriam Raquel Meira Mainenti, Lilian Ramiro Felicio, Érika de Carvalho Rodrigues, Dalila Terrinha Ribeiro da Silva, Patrícia Vigário dos Santos	2014	10	TRUE	NA	NA	C	NA
Isokinetics and Exercise Science	2016-07-05	2019-12-02	2016-11-28	10.3233/ies-160635	2022-03-29	0959-3020,1878-5913	4	2016-11-28	7437	331-340	10.3233	IOS Press	1	Crossref	43	43	11	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine,Biophysics	Parameters of knee isokinetic dynamometry in individuals with acromegaly: Association with growth hormone levels and general fatigue	journal-article	http://dx.doi.org/10.3233/ies-160635	24	IES	NA	NA	NA	NA	NA	NA	Evelyn M. Walchan, Fernando S. Guimarães, Mauricio S. Soares, Leandro Kasuki, Monica R. Gadelha, Agnaldo J. Lopes	2016	11	FALSE	1.2	0.264	B1	NA
BRAZILIAN JOURNAL OF PAIN	2022-06-03	2022-06-03	2022	10.5935/2595-0118.20220031-en	2022-06-04	2595-0118	2	2022	3948	NA	10.5935	GN1 Sistemas e Publicacoes Ltd.	1	Crossref	0	0	0	Applied Mathematics	Patients with fibromyalgia present different pain phenotypes compared to patients with generalized pain	journal-article	http://dx.doi.org/10.5935/2595-0118.20220031-en	5	BrJP	2022	NA	NA	NA	NA	NA	Juliana Valentim Bittencourt, Leticia Amaral Corrêa, Márcia Cliton Bezerra, Felipe José Jandre dos Reis, Katie de Luca, Leandro Alberto Calazans Nogueira	2022	0	TRUE	NA	NA	B1	NA
January 2018,Pain Physician	2019-10-30	2020-01-15	2018-07-15	10.36076/ppj.2018.4.e409	2022-04-06	2150-1149,1533-3159	21;1	2018-07-15	21814	E409-E418	10.36076	American Society of Interventional Pain Physicians	1	Crossref	0	0	1	Anesthesiology and Pain Medicine	Patients with Impaired Descending Nociceptive
Inhibitory System Present Altered Cardiac
Vagal Control at Rest	journal-article	http://dx.doi.org/10.36076/ppj.2018.4.e409	1	Pain Phys	2018-07-15	en	NA	NA	Internet Archive	Internet Archive	Leandro Nogueira	2018	1	TRUE	5.5	0.824	A2	NA
Brazilian Journal Of Pain	2021-03-02	2021-03-02	2021	10.5935/2595-0118.20210016	2022-04-02	2595-0118	NA	2021	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	0	Applied Mathematics	Perceived injustice and pain intensity in patients with chronic musculoskeletal pain: crosssectional study	journal-article	http://dx.doi.org/10.5935/2595-0118.20210016	NA	NA	NA	en	NA	NA	NA	NA	Mayara Paiva Souza, Pamela Martin Bandeira, Marcella De Souza Marins, Daiane Lopes dos Santos, Leandro Alberto Calazans Nogueira, Ney Armando Meziat-Filho, Felipe José Jandre dos Reis	2021	0	TRUE	NA	NA	B1	NA
Leprosy Review	2020-10-29	2020-10-29	NA	10.47276/lr.88.1.85	2022-09-26	2162-8807	1	2017-03-01	26859	85-94	10.47276	Lepra	1	Crossref	0	0	6	General Medicine	Physical disability and its social and functional repercussions in patients with leprosy after discharge from multidrug therapy	journal-article	http://dx.doi.org/10.47276/lr.88.1.85	88	LEPROSY	2017-03-01	NA	NA	NA	NA	NA	Natalia Coelho Rodrigues, Luis Eduardo Castro, Julio Guilherme Silva, Ana Paula Fontana, Bernardo Couto Neto, Vagner William Sá, Maria Kátia Gomes	2017	6	TRUE	1.1	NA	B2	NA
Revista Dor	2017-11-14	2017-11-14	2017	10.5935/1806-0013.20170131	2022-04-02	1806-0013	4	2017	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	0	Insect Science,Ecology,Ecology, Evolution, Behavior and Systematics	Physiotherapeutic intervention in pain and quality of life of women with rheumatoid arthritis. Case reports	journal-article	http://dx.doi.org/10.5935/1806-0013.20170131	18	NA	NA	en	NA	NA	NA	NA	Caroline de Macedo Schnornberger, Matheus Santos Gomes Jorge, Lia Mara Wibelinger	2017	0	TRUE	NA	NA	A3	NA
Applied Physiology, Nutrition, and Metabolism	2015-02-10	2020-01-06	2015-06	10.1139/apnm-2014-0354	2023-04-25	1715-5312,1715-5320	6	2015-06	155	605-614	10.1139	Canadian Science Publishing	1	Crossref	44	44	15	Physiology (medical),Nutrition and Dietetics,Physiology,General Medicine,Endocrinology, Diabetes and Metabolism	Postexercise hypotension after maximal short-term incremental exercise depends on exercise modality	journal-article	http://dx.doi.org/10.1139/apnm-2014-0354	40	Appl. Physiol. Nutr. Metab.	NA	en	NA	NA	NA	NA	Felipe A. Cunha, Adrian W. Midgley, Pedro P. Soares, Paulo T.V. Farinatti	2015	15	FALSE	5.4	0.857	A3	NA
International Archives of Medicine	2015-04-06	2015-04-16	NA	10.3823/1642	2022-04-04	1755-7682	NA	2015	2155	NA	10.3823	International Medical Publisher (Fundacion de Neurociencias)	1	Crossref	0	0	1	General Medicine	Postural control modulation during motor imagery tasks: a systematic review	journal-article	http://dx.doi.org/10.3823/1642	NA	Int Arch Med	2015	NA	NA	NA	NA	NA	 	2015	1	TRUE	NA	NA	C	NA
Gait &amp; Posture	2014-03-23	2019-08-08	2014-05	10.1016/j.gaitpost.2014.03.014	2022-03-30	0966-6362	1	2014-05	78	154-159	10.1016	Elsevier BV	1	Crossref	30	30	12	Rehabilitation,Orthopedics and Sports Medicine,Biophysics	Posture and balance control in patients with acromegaly: Results of a cross-sectional study	journal-article	http://dx.doi.org/10.1016/j.gaitpost.2014.03.014	40	Gait &amp; Posture	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Agnaldo José Lopes, Débora Pedroza Guedes da Silva, Leandro Kasuki, Mônica Roberto Gadelha, Gustavo Bittencourt Camilo, Fernando Silva Guimarães	2014	13	FALSE	4.8	0.779	A2	NA
Journal of Manual &amp; Manipulative Therapy	2019-02-26	2022-09-12	2019-08-08	10.1080/10669817.2019.1580420	2023-05-22	1066-9817,2042-6186	4	2019-02-26	301	208-214	10.1080	Informa UK Limited	1	Crossref	35	35	2	Physical Therapy, Sports Therapy and Rehabilitation	Pragmatic neural tissue management improves short-term pain and disability in patients with sciatica: a single-arm clinical trial	journal-article	http://dx.doi.org/10.1080/10669817.2019.1580420	27	Journal of Manual &amp; Manipulative Therapy	2019-02-26	en	http://dx.doi.org/10.1080/tandf_crossmark_01	NA	NA	NA	Renato Santos de Almeida, Eduardo Machado, Tiê Parma Yamato, Luciano Santos De Melo, Leandro Alberto Calazans Nogueira	2019	2	TRUE	2.6	0.403	B1	NA
Neural Plasticity	2021-02-20	2021-02-20	2021-02-20	10.1155/2021/6649135	2022-10-19	1687-5443,2090-5904	NA	2021-02-20	98	1-10	10.1155	Hindawi Limited	1	Crossref	62	62	4	Neurology (clinical),Neurology	Predicting Upcoming Events Occurring in the Space Surrounding the Hand	journal-article	http://dx.doi.org/10.1155/2021/6649135	2021	Neural Plasticity	NA	en	NA	NA	NA	NA	Maria L. Rangel, Lidiane Souza, Erika C. Rodrigues, José M. Oliveira, Michelle F. Miranda, Antonio Galves, Claudia D. Vargas	2021	4	TRUE	5.7	0.766	A3	NA
European Journal of Physical and Rehabilitation Medicine	2020-01-20	2021-02-23	2020-01	10.23736/s1973-9087.19.05687-9	2023-03-29	1973-9087,1973-9095	6	2020-01	17149	NA	10.23736	Edizioni Minerva Medica	1	Crossref	45	45	7	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Predictive models for the six-minute walk test considering the walking course and physical activity level	journal-article	http://dx.doi.org/10.23736/s1973-9087.19.05687-9	55	Eur J Phys Rehabil Med	NA	NA	NA	NA	NA	NA	Vívian P. Almeida, Arthur S. Ferreira, Fernando S. Guimarães, Jannis Papathanasiou, Agnaldo J. Lopes	2020	7	FALSE	7.3	1.019	A2	NA
Medical Problems of Performing Artists	2017-03-07	2021-07-29	2017-03-01	10.21091/mppa.2017.1006	2023-06-08	0885-1158	1	2017-03-01	8662	27-32	10.21091	Science and Medicine, Inc.	1	Crossref	0	0	18	History and Philosophy of Science,General Medicine	Prevalence and Associated Factors of Playing-Related Musculoskeletal Disorders in Brazilian Violin Players	journal-article	http://dx.doi.org/10.21091/mppa.2017.1006	32	Medical Problems of Performing Artists	NA	en	NA	NA	NA	NA	Frederico B Kochem, Julio G Silva	2017	18	FALSE	1.4	0.252	A2	NA
Journal of Manipulative and Physiological Therapeutics	2018-08-01	2022-08-28	2018-07	10.1016/j.jmpt.2018.05.001	2023-04-23	0161-4754	6	2018-07	78	540-549	10.1016	Elsevier BV	1	Crossref	54	54	15	Chiropractics	Prevalence of Playing-related Musculoskeletal Disorders in String Players: A Systematic Review	journal-article	http://dx.doi.org/10.1016/j.jmpt.2018.05.001	41	Journal of Manipulative and Physiological Therapeutics	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Frederico Barreto Kochem, Julio Guilherme Silva	2018	15	FALSE	2.5	0.454	A2	NA
Motriz: Revista de Educação Física	2017-06-23	2019-09-26	2017	10.1590/s1980-6574201700020013	2023-01-19	1980-6574	2	2017	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	4	General Medicine,Health (social science)	Profile of infrared thermography in elite soccer players	journal-article	http://dx.doi.org/10.1590/s1980-6574201700020013	23	Motriz: rev. educ. fis.	NA	NA	NA	NA	NA	NA	Alex Souto Maior, Gustavo Leporace, Marcio Tannure, Moacir Marocolo	2017	4	TRUE	NA	0.223	B1	NA
European Spine Journal	2015-07-28	2019-08-28	2015-10	10.1007/s00586-015-4157-x	2023-03-24	0940-6719,1432-0932	10	2015-07-29	297	2107-2113	10.1007	Springer Science and Business Media LLC	1	Crossref	29	29	14	Orthopedics and Sports Medicine,Surgery	Prognostic factors in patients with metastatic spinal cord compression secondary to lung cancer: a systematic review of the literature	journal-article	http://dx.doi.org/10.1007/s00586-015-4157-x	24	Eur Spine J	2015-07-29	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Gustavo Telles da Silva, Anke Bergmann, Luiz Claudio Santos Thuler	2015	14	FALSE	4.7	0.942	A1	NA
Journal of Chinese Integrative Medicine	2009-10-28	2019-05-23	2009-10-15	10.3736/jcim20091011	2022-04-03	1672-1977	10	2009-10-15	2046	969-975	10.3736	Journal of Chinese Integrative Medicine Press	1	Crossref	22	22	8	Complementary and alternative medicine	Prophylactic effects of short-term acupuncture on Zusanli (ST36) in Wistar rats with lipopolysaccharide-induced acute lung injury	journal-article	http://dx.doi.org/10.3736/jcim20091011	7	J Chin Integr Med	NA	NA	NA	NA	NA	NA	AS Ferreira	2009	8	FALSE	NA	NA	NA	NA
Isokinetics and Exercise Science	2018-10-30	2019-12-02	2013-08-06	10.3233/ies-130508	2022-04-04	1878-5913,0959-3020	3	2013-08-06	7437	219-226	10.3233	IOS Press	1	Crossref	0	0	1	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine,Biophysics	Pulmonary disease severity and peripheral muscle function as limiting factors for exercise capacity in adult patients with cystic fibrosis	journal-article	http://dx.doi.org/10.3233/ies-130508	21	IES	NA	NA	NA	NA	NA	NA	Vanessa J.R. Moço, Agnaldo J. Lopes, Patrícia S. Vigário, Vivian P. Almeida, Renato F. Dias, Sara L.S. Menezes, Fernando S. Guimarães	2013	1	FALSE	1.2	0.264	B1	NA
ASSOBRAFIR Ciência	2020-09-10	2020-09-10	NA	10.47066/2177-9333.ac20.covid19.005	2022-12-16	2177-9333	Supl1	2020-09-03	26629	47	10.47066	Associacao Brasileira de Fisioterapia Cardiorrespiratoria e Fisioterapia em Terapia Intensiva	1	Crossref	0	0	3	NA	Recomendações sobre o uso de equipamentos de proteção individual (EPIs) no ambiente hospitalar e prevenção de transmissão cruzada na COVID-19	journal-article	http://dx.doi.org/10.47066/2177-9333.ac20.covid19.005	11	Assofrafir Cien.	2020-09-03	NA	NA	NA	NA	NA	Darlan Laurício Matte, Lucas Cacau, Luis Felipe Da Fonseca Reis, Mariela Cometki Assis	2020	3	TRUE	NA	NA	B3	NA
ConScientiae Saúde	2020-07-20	2020-09-25	NA	10.5585/conssaude.v18n4.14963	2022-10-12	1983-9324,1677-1028	4	2020-07-20	3664	429-443	10.5585	University Nove de Julho	1	Crossref	0	0	1	General Medicine,General Chemistry	Recuperação cardiopulmonar em atletas de Rugby em Cadeira de Rodas: efeito de nível competitivo e classificação funcional	journal-article	http://dx.doi.org/10.5585/conssaude.v18n4.14963	18	Cons. Saúde	2020-07-20	NA	NA	NA	NA	NA	Alexssander De Souza Mello, Patrícia Dos Santos Vigário, Jeter Pereira de Freitas, Thiago Lemos, Míriam Raquel Meira Mainenti	2020	1	TRUE	NA	NA	B2	NA
ConScientiae Saúde	2020-07-16	2020-09-25	NA	10.5585/conssaude.v18n3.11179	2022-03-31	1983-9324,1677-1028	3	2020-04-14	3664	301-311	10.5585	University Nove de Julho	1	Crossref	0	0	0	General Medicine,General Chemistry	Relação entre intensidade da corrida, percepção de esforço e estados de humor em corredores recreacionais	journal-article	http://dx.doi.org/10.5585/conssaude.v18n3.11179	18	Cons. Saúde	2020-04-14	NA	NA	NA	NA	NA	João Henrique Gomes, Renata Rebello Mendes, Roberta Luksevicius Rica, Rafael M. Pitta, Rafael Ambrósio Battazza, Gerson Leite, Alex Souto Maior, Danilo Sales Bocalini	2020	0	TRUE	NA	NA	B2	NA
Fisioterapia em Movimento	2023-04-05	2023-04-05	NA	10.1590/fm.2023.36108	2023-04-06	1980-5918	NA	2023	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	18	18	0	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Relationship between abdominal and neck fat with sleep disorders in obese patients	journal-article	http://dx.doi.org/10.1590/fm.2023.36108	36	Fisioter. mov.	2023	NA	NA	NA	NA	NA	Elena Marie Peixoto Ruthes, Oslei Matos, Brenda Carolina de Castro Lenardt, Carlos Alberto Petroski, Antonio Beira de Andrade Junior, Karin dal Vesco	2023	0	TRUE	0.3	0.131	B1	NA
Brazilian Journal of Physical Therapy	2013-10-28	2016-12-15	NA	10.1590/s1413-35552012005000111	2022-04-03	1413-3555	5	2013-10	530	450-457	10.1590	FapUNIFESP (SciELO)	1	Crossref	0	0	7	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Relationship between body balance, lung function, nutritional status and functional capacity in adults with cystic fibrosis	journal-article	http://dx.doi.org/10.1590/s1413-35552012005000111	17	Braz. J. Phys. Ther.	2013-10	en	NA	NA	NA	NA	Jennifer T. S. Penafortes, Fernando S. Guimaraes, Vanessa J. Ribeiro Moco, Vivian P. Almeida, Sara L. S. Menezes, Agnaldo J. Lopes	2013	7	TRUE	6.4	0.975	A2	NA
Journal of Bodywork and Movement Therapies	2014-01-08	2022-03-22	2015-01	10.1016/j.jbmt.2014.01.002	2023-04-03	1360-8592	1	2015-01	78	17-24	10.1016	Elsevier BV	1	Crossref	55	55	13	Complementary and alternative medicine,Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Relationship between functional capacity, joint mobility and pulmonary function in patients with systemic sclerosis	journal-article	http://dx.doi.org/10.1016/j.jbmt.2014.01.002	19	Journal of Bodywork and Movement Therapies	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Tatiana Rafaela Lemos Lima, Fernando Silva Guimarães, Leilson Araujo Silva, Débora Pedroza Guedes Silva, Sara Lucia Silveira Menezes, Agnaldo José Lopes	2015	13	FALSE	2.5	0.404	A2	NA
Revista Brasileira de Hematologia e Hemoterapia	2015-12-17	2018-09-16	2016-01	10.1016/j.bjhh.2015.11.001	2022-07-28	1516-8484	1	2016-01	78	21-27	10.1016	Elsevier BV	1	Crossref	30	30	7	Hematology	Relationship between pulmonary and cardiac abnormalities in sickle cell disease: implications for the management of patients	journal-article	http://dx.doi.org/10.1016/j.bjhh.2015.11.001	38	Revista Brasileira de Hematologia e Hemoterapia	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Maria Christina Paixão Maioli, Andrea Ribeiro Soares, Ricardo Bedirian, Ursula David Alves, Cirlene de Lima Marinho, Agnaldo José Lopes	2016	7	TRUE	NA	NA	B3	NA
