journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	abstract	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	archive	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
International Archives of Medicine	2015-04-06	2015-04-16	NA	10.3823/1642	2022-04-04	1755-7682	NA	2015	2155	NA	10.3823	International Medical Publisher (Fundacion de Neurociencias)	1	Crossref	0	0	1	General Medicine	Postural control modulation during motor imagery tasks: a systematic review	journal-article	http://dx.doi.org/10.3823/1642	NA	NA	Int Arch Med	2015	NA	NA	NA	NA	NA	NA	 	2015	1	TRUE	NA	NA	C
Gait &amp; Posture	2014-03-23	2019-08-08	2014-05	10.1016/j.gaitpost.2014.03.014	2022-03-30	0966-6362	1	2014-05	78	154-159	10.1016	Elsevier BV	1	Crossref	30	30	12	Rehabilitation,Orthopedics and Sports Medicine,Biophysics	Posture and balance control in patients with acromegaly: Results of a cross-sectional study	journal-article	http://dx.doi.org/10.1016/j.gaitpost.2014.03.014	40	NA	Gait &amp; Posture	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Agnaldo José Lopes, Débora Pedroza Guedes da Silva, Leandro Kasuki, Mônica Roberto Gadelha, Gustavo Bittencourt Camilo, Fernando Silva Guimarães	2014	13	FALSE	4.8	0,779	A2
Journal of Manual &amp; Manipulative Therapy	2019-02-26	2022-09-12	2019-08-08	10.1080/10669817.2019.1580420	2023-05-22	1066-9817,2042-6186	4	2019-02-26	301	208-214	10.1080	Informa UK Limited	1	Crossref	35	35	2	Physical Therapy, Sports Therapy and Rehabilitation	Pragmatic neural tissue management improves short-term pain and disability in patients with sciatica: a single-arm clinical trial	journal-article	http://dx.doi.org/10.1080/10669817.2019.1580420	27	NA	Journal of Manual &amp; Manipulative Therapy	2019-02-26	en	http://dx.doi.org/10.1080/tandf_crossmark_01	NA	NA	NA	NA	Renato Santos de Almeida, Eduardo Machado, Tiê Parma Yamato, Luciano Santos De Melo, Leandro Alberto Calazans Nogueira	2019	2	TRUE	2.6	0,403	B1
Neural Plasticity	2021-02-20	2021-02-20	2021-02-20	10.1155/2021/6649135	2022-10-19	1687-5443,2090-5904	NA	2021-02-20	98	1-10	10.1155	Hindawi Limited	1	Crossref	62	62	4	Neurology (clinical),Neurology	Predicting Upcoming Events Occurring in the Space Surrounding the Hand	journal-article	http://dx.doi.org/10.1155/2021/6649135	2021	<jats:p>Predicting upcoming sensorimotor events means creating forward estimates of the body and the surrounding world. This ability is a fundamental aspect of skilled motor behavior and requires an accurate and constantly updated representation of the body and the environment. To test whether these prediction mechanisms could be affected by a peripheral injury, we employed an action observation and electroencephalogram (EEG) paradigm to assess the occurrence of prediction markers in anticipation of observed sensorimotor events in healthy and brachial plexus injury (BPI) participants. Nine healthy subjects and six BPI patients watched a series of video clips showing an actor’s hand and a colored ball in an egocentric perspective. The color of the ball indicated whether the hand would grasp it (hand movement), or the ball would roll toward the hand and touch it (ball movement), or no event would occur (no movement). In healthy participants, we expected to find distinct electroencephalographic activation patterns (EEG signatures) specific to the prediction of the occurrence of each of these situations. Cluster analysis from EEG signals recorded from electrodes placed over the sensorimotor cortex of control participants showed that predicting either an upcoming hand movement or the occurrence of a tactile event yielded specific neural signatures. In BPI participants, the EEG signals from the sensorimotor cortex contralateral to the dominant hand in the hand movement condition were different compared to the other conditions. Furthermore, there were no differences between ball movement and no movement conditions in the sensorimotor cortex contralateral to the dominant hand, suggesting that BPI blurred specifically the ability to predict upcoming tactile events for the dominant hand. These results highlight the role of the sensorimotor cortex in creating estimates of both actions and tactile interactions in the space around the body and suggest plastic effects on prediction coding following peripheral sensorimotor loss.</jats:p>	Neural Plasticity	NA	en	NA	NA	NA	NA	NA	Maria L. Rangel, Lidiane Souza, Erika C. Rodrigues, José M. Oliveira, Michelle F. Miranda, Antonio Galves, Claudia D. Vargas	2021	4	TRUE	5.7	0,766	A3
European Journal of Physical and Rehabilitation Medicine	2020-01-20	2021-02-23	2020-01	10.23736/s1973-9087.19.05687-9	2023-03-29	1973-9087,1973-9095	6	2020-01	17149	NA	10.23736	Edizioni Minerva Medica	1	Crossref	45	45	7	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Predictive models for the six-minute walk test considering the walking course and physical activity level	journal-article	http://dx.doi.org/10.23736/s1973-9087.19.05687-9	55	NA	Eur J Phys Rehabil Med	NA	NA	NA	NA	NA	NA	NA	Vívian P. Almeida, Arthur S. Ferreira, Fernando S. Guimarães, Jannis Papathanasiou, Agnaldo J. Lopes	2020	7	FALSE	7.3	1,019	A2
Medical Problems of Performing Artists	2017-03-07	2021-07-29	2017-03-01	10.21091/mppa.2017.1006	2023-06-08	0885-1158	1	2017-03-01	8662	27-32	10.21091	Science and Medicine, Inc.	1	Crossref	0	0	18	History and Philosophy of Science,General Medicine	Prevalence and Associated Factors of Playing-Related Musculoskeletal Disorders in Brazilian Violin Players	journal-article	http://dx.doi.org/10.21091/mppa.2017.1006	32	<jats:p>OBJECTIVE: To investigate the prevalence of playing-related musculoskeletal disorders (PRMD) and associated factors among violinists from the state of Rio de Janeiro, Brazil. METHODS: This cross-sectional study included 106 violinists from eight cities in the state of Rio de Janeiro.
 Sociodemographic and musical characteristic data, pain symptoms, and upper-limb functionality were collected using the DASH and the Standardized Nordic Questionnaires. The associations between musculoskeletal complaints and possible predictors were analyzed by binary logistic regression. RESULTS:
 Of the 106 surveyed violin players, 86.8% reported at least one painful area in the last 12 months and 77.4% in the last week. These symptoms were responsible for the temporary interruption of musical activity in 8.1% of musicians. More than 50% of violinists showed dysfunctional upper limbs
 according to the DASH optional module. Women were more likely to develop musculoskeletal disorders (OR 4.4, CI 1.9–10.0, p&lt;0.001). In addition, older musicians were more likely to report pain in the last 7 days (OR 3.3, CI 5.1–10.97; p=0.04) and also had higher scores on the
 DASH (OR 1.8, CI 1.1–3.1; p=0.01). Other factors associated with the development of PRMD were body mass index, practice hours per week, and final DASH score. CONCLUSION: Violinists living and working in the state of Rio de Janeiro have a high prevalence of PRMD, especially women and
 older musicians.</jats:p>	Medical Problems of Performing Artists	NA	en	NA	NA	NA	NA	NA	Frederico B Kochem, Julio G Silva	2017	18	FALSE	1.4	0,252	A2
Arthritis Care &amp; Research	2023-05-24	2023-06-04	NA	10.1002/acr.25157	2023-06-05	2151-464X,2151-4658	NA	2023-05-23	311	NA	10.1002	Wiley	1	Crossref	0	0	0	Rheumatology	Prevalence of non‐steroidal anti‐inflammatory drugs prescribed osteoarthritis: systematic review and meta‐analysis of observational studies	journal-article	http://dx.doi.org/10.1002/acr.25157	NA	NA	Arthritis Care &amp; Research	2023-05-23	en	http://dx.doi.org/10.1002/crossmark_policy	NA	NA	NA	Portico	Zijing Yang, Stephanie Mathieson, Sarah Kobayashi, Christina Abdel Shaheed, Leandro Alberto Calazans Nogueira, Milena Simic, Gustavo Machado, Andrew J McLachlan	2023	0	FALSE	9.1	1,718	A1
Journal of Manipulative and Physiological Therapeutics	2018-08-01	2022-08-28	2018-07	10.1016/j.jmpt.2018.05.001	2023-04-23	0161-4754	6	2018-07	78	540-549	10.1016	Elsevier BV	1	Crossref	54	54	15	Chiropractics	Prevalence of Playing-related Musculoskeletal Disorders in String Players: A Systematic Review	journal-article	http://dx.doi.org/10.1016/j.jmpt.2018.05.001	41	NA	Journal of Manipulative and Physiological Therapeutics	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Frederico Barreto Kochem, Julio Guilherme Silva	2018	15	FALSE	2.5	0,454	A2
Motriz: Revista de Educação Física	2017-06-23	2019-09-26	2017	10.1590/s1980-6574201700020013	2023-01-19	1980-6574	2	2017	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	4	General Medicine,Health (social science)	Profile of infrared thermography in elite soccer players	journal-article	http://dx.doi.org/10.1590/s1980-6574201700020013	23	NA	Motriz: rev. educ. fis.	NA	NA	NA	NA	NA	NA	NA	Alex Souto Maior, Gustavo Leporace, Marcio Tannure, Moacir Marocolo	2017	4	TRUE	NA	0,223	B1
European Spine Journal	2015-07-28	2019-08-28	2015-10	10.1007/s00586-015-4157-x	2023-03-24	0940-6719,1432-0932	10	2015-07-29	297	2107-2113	10.1007	Springer Science and Business Media LLC	1	Crossref	29	29	14	Orthopedics and Sports Medicine,Surgery	Prognostic factors in patients with metastatic spinal cord compression secondary to lung cancer: a systematic review of the literature	journal-article	http://dx.doi.org/10.1007/s00586-015-4157-x	24	NA	Eur Spine J	2015-07-29	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Gustavo Telles da Silva, Anke Bergmann, Luiz Claudio Santos Thuler	2015	14	FALSE	4.7	0,942	A1
Journal of Chinese Integrative Medicine	2009-10-28	2019-05-23	2009-10-15	10.3736/jcim20091011	2022-04-03	1672-1977	10	2009-10-15	2046	969-975	10.3736	Journal of Chinese Integrative Medicine Press	1	Crossref	22	22	8	Complementary and alternative medicine	Prophylactic effects of short-term acupuncture on Zusanli (ST36) in Wistar rats with lipopolysaccharide-induced acute lung injury	journal-article	http://dx.doi.org/10.3736/jcim20091011	7	NA	J Chin Integr Med	NA	NA	NA	NA	NA	NA	NA	AS Ferreira	2009	8	FALSE	NA	NA	NA
Isokinetics and Exercise Science	2018-10-30	2019-12-02	2013-08-06	10.3233/ies-130508	2022-04-04	1878-5913,0959-3020	3	2013-08-06	7437	219-226	10.3233	IOS Press	1	Crossref	0	0	1	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine,Biophysics	Pulmonary disease severity and peripheral muscle function as limiting factors for exercise capacity in adult patients with cystic fibrosis	journal-article	http://dx.doi.org/10.3233/ies-130508	21	NA	IES	NA	NA	NA	NA	NA	NA	NA	Vanessa J.R. Moço, Agnaldo J. Lopes, Patrícia S. Vigário, Vivian P. Almeida, Renato F. Dias, Sara L.S. Menezes, Fernando S. Guimarães	2013	1	FALSE	1.2	0,264	B1
ASSOBRAFIR Ciência	2020-09-10	2020-09-10	NA	10.47066/2177-9333.ac20.covid19.005	2022-12-16	2177-9333	Supl1	2020-09-03	26629	47	10.47066	Associacao Brasileira de Fisioterapia Cardiorrespiratoria e Fisioterapia em Terapia Intensiva	1	Crossref	0	0	3	NA	Recomendações sobre o uso de equipamentos de proteção individual (EPIs) no ambiente hospitalar e prevenção de transmissão cruzada na COVID-19	journal-article	http://dx.doi.org/10.47066/2177-9333.ac20.covid19.005	11	<jats:p>O presente documento tem por objetivo informar sobre os modos de transmissão deste processo infeccioso, a tipologia dos equipamentos de proteção individual (EPIs), suas características, bem como orientar tecnicamente o uso correto destes EPIs no ambiente hospitalar pelos fisioterapeutas, e sobre a prevenção de transmissão cruzada por estes profissionais durante a pandemia de COVID-19. Além disso, estas recomendações nacionais estimulam os fisioterapeutas a se protegerem e utilizarem os EPIs adequadamente. Sabe-se que os fisioterapeutas são imprescindíveis na linha de frente de cuidados ao paciente com COVID-19, e que muitos procedimentos terapêuticos utilizados no contexto hospitalar são fontes dispersoras de aerossóis e assim fornecedores de risco ao ambiente e ao profissional. Desta forma, a proteção destes profissionais durante sua atividade-fim e do seu respectivo local de trabalho é motivo de grande preocupação por parte da ASSOBRAFIR.</jats:p>	Assofrafir Cien.	2020-09-03	NA	NA	NA	NA	NA	NA	Darlan Laurício Matte, Lucas Cacau, Luis Felipe Da Fonseca Reis, Mariela Cometki Assis	2020	3	TRUE	NA	NA	B3
ConScientiae Saúde	2020-07-20	2020-09-25	NA	10.5585/conssaude.v18n4.14963	2022-10-12	1983-9324,1677-1028	4	2020-07-20	3664	429-443	10.5585	University Nove de Julho	1	Crossref	0	0	1	General Medicine,General Chemistry	Recuperação cardiopulmonar em atletas de Rugby em Cadeira de Rodas: efeito de nível competitivo e classificação funcional	journal-article	http://dx.doi.org/10.5585/conssaude.v18n4.14963	18	<jats:p>Introdução: o Rugby em Cadeira de Rodas (RCR) é uma modalidade com grande demanda energética. Objetivo: comparar a recuperação cardiopulmonar de atletas de RCR de elite internacional (EI, n=16) e nacional (EN, n=06), além de investigar a correlação entre a recuperação e a classificação funcional (CF) dos atletas.Métodos: o teste de esforço cardiopulmonar foi realizado em cicloergômetro para membros superiores, com análise dos gases expirados. Consumo de oxigênio (VO2) e ventilação pulmonar (VE) foram avaliados no pico do esforço e na recuperação (primeiro, segundo e terceiro minutos). Resultados: EI apresentou uma maior recuperação do VO2 e da VE. Correlações fortes e muito fortes foram encontradas entre CF e recuperação percentual de VO2 para EN, enquanto que, no EI, as correlações foram fracas e regulares.Conclusão: Atletas com maior volume de prática do RCR (EI) têm maior capacidade de recuperação cardiopulmonar. Sugere-se que o tempo de treinamento pode minimizar a influência da CF na capacidade de recuperação do atleta.</jats:p>	Cons. Saúde	2020-07-20	NA	NA	NA	NA	NA	NA	Alexssander De Souza Mello, Patrícia Dos Santos Vigário, Jeter Pereira de Freitas, Thiago Lemos, Míriam Raquel Meira Mainenti	2020	1	TRUE	NA	NA	B2
ConScientiae Saúde	2020-07-16	2020-09-25	NA	10.5585/conssaude.v18n3.11179	2022-03-31	1983-9324,1677-1028	3	2020-04-14	3664	301-311	10.5585	University Nove de Julho	1	Crossref	0	0	0	General Medicine,General Chemistry	Relação entre intensidade da corrida, percepção de esforço e estados de humor em corredores recreacionais	journal-article	http://dx.doi.org/10.5585/conssaude.v18n3.11179	18	<jats:p>Introdução: a avaliação da percepção de esforço (PSE) e estados de humor (EH) em diferentes intensidades de esforço, pode auxiliar o planejamento do programa de treinamento minimizando o risco de overtraining e lesões osteomioarticulares.Objetivo: comparar as respostas de PSE e estados de humor em individuos submetidos a duas intensidades distintas de corrida de 5km.Métodos: corredores de rua recreacionais (n: 14) do Clube de Corrida da Universidade Federal de Sergipe (UFS) foram submetidos a um teste de 5Km. Posteriormente a realização do teste todos os individuos foram submetidos a dois testes de 5km randomizados  com diferentes intensidades  sendo a 95% e 85% da velocidade do teste de 5km.  Foram avaliados o tempo total, a veocidade media, a percepçaõ de esforço, a carga interna e os parámetros vigor e fadiga.Resultados: O protocolo de corrida C5K85 apresentou redução significativa (p 0,001) das variáveis velocidade média de corrida, PSE e CIT quando comparado ao protocolo C5K95. A variável fadiga apresentou aumento significativo (p 0,001) pós-esforço no protocolo C5K95, sem mudanças significativas no protocolo C5K85 (p0,05). Conclusão: a percepção subjetiva de esforço, a carga interna de treino e a subescala fadiga do questionário BRUMS podem ser utilizados como ferramentas para controle e monitoramento da intensidade de treinamento em corredores de 5km. </jats:p>	Cons. Saúde	2020-04-14	NA	NA	NA	NA	NA	NA	João Henrique Gomes, Renata Rebello Mendes, Roberta Luksevicius Rica, Rafael M. Pitta, Rafael Ambrósio Battazza, Gerson Leite, Alex Souto Maior, Danilo Sales Bocalini	2020	0	TRUE	NA	NA	B2
Fisioterapia em Movimento	2023-04-05	2023-04-05	NA	10.1590/fm.2023.36108	2023-04-06	1980-5918	NA	2023	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	18	18	0	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Relationship between abdominal and neck fat with sleep disorders in obese patients	journal-article	http://dx.doi.org/10.1590/fm.2023.36108	36	<jats:p>Abstract  Introduction  Obesity is one of the main public health problem worldwide and it has a negative short- and long-term relationship with women's health. Assessment of this disorder is essential, as is a body composition assessed by dual-energy X-ray absorptiometry (DXA) with the new region of interest as the neck.  Objective  To verify the association between abdominal and neck fat with sleep quality in obese women.  Methods  The sample, obtained from a Biomedical Engineering and Health Program database, was characterized by being obese female aged between 20 and 65 years. The tests performed were anthropometric assessment, sleep quality questionnaire, physical activity level, nutritional assessment, and body composition by dual-energy X-ray absorptiometry (DXA). For statistical analysis, the Shapiro-Wilk test, t test for independent samples, Kendall's Tau, linear and multiple regression and ROC curve were used.  Results  The sample consisted of 15 individuals with a mean age of 45 ± 11.10 years, neck circumference of 41.50 ± 2.61 and abdominal circumference of 128.20 ± 11.62. We found no correlation between the regions of interest and the sleep quality questionnaire. Regression analysis shows non-significant statistical values for abdominal fat. The statistical test proved that the new region of interest in abdominal fat is closer to better sensitivity and has a greater relationship with sleep quality.  Conclusion  there was no statistically significant correlation between the regions of interest and the sleep quality questionnaire. However, the abdominal fat region of interest was the point that presented the best association with sleep quality assessed by the Pittsburgh questionnaire.</jats:p>	Fisioter. mov.	2023	NA	NA	NA	NA	NA	NA	Elena Marie Peixoto Ruthes, Oslei Matos, Brenda Carolina de Castro Lenardt, Carlos Alberto Petroski, Antonio Beira de Andrade Junior, Karin dal Vesco	2023	0	TRUE	0.3	0,131	B1
Brazilian Journal of Physical Therapy	2013-10-28	2016-12-15	NA	10.1590/s1413-35552012005000111	2022-04-03	1413-3555	5	2013-10	530	450-457	10.1590	FapUNIFESP (SciELO)	1	Crossref	0	0	7	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Relationship between body balance, lung function, nutritional status and functional capacity in adults with cystic fibrosis	journal-article	http://dx.doi.org/10.1590/s1413-35552012005000111	17	NA	Braz. J. Phys. Ther.	2013-10	en	NA	NA	NA	NA	NA	Jennifer T. S. Penafortes, Fernando S. Guimaraes, Vanessa J. Ribeiro Moco, Vivian P. Almeida, Sara L. S. Menezes, Agnaldo J. Lopes	2013	7	TRUE	6.4	0,975	A2
Journal of Bodywork and Movement Therapies	2014-01-08	2022-03-22	2015-01	10.1016/j.jbmt.2014.01.002	2023-04-03	1360-8592	1	2015-01	78	17-24	10.1016	Elsevier BV	1	Crossref	55	55	13	Complementary and alternative medicine,Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Relationship between functional capacity, joint mobility and pulmonary function in patients with systemic sclerosis	journal-article	http://dx.doi.org/10.1016/j.jbmt.2014.01.002	19	NA	Journal of Bodywork and Movement Therapies	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Tatiana Rafaela Lemos Lima, Fernando Silva Guimarães, Leilson Araujo Silva, Débora Pedroza Guedes Silva, Sara Lucia Silveira Menezes, Agnaldo José Lopes	2015	13	FALSE	2.5	0,404	A2
Revista Brasileira de Hematologia e Hemoterapia	2015-12-17	2018-09-16	2016-01	10.1016/j.bjhh.2015.11.001	2022-07-28	1516-8484	1	2016-01	78	21-27	10.1016	Elsevier BV	1	Crossref	30	30	7	Hematology	Relationship between pulmonary and cardiac abnormalities in sickle cell disease: implications for the management of patients	journal-article	http://dx.doi.org/10.1016/j.bjhh.2015.11.001	38	NA	Revista Brasileira de Hematologia e Hemoterapia	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Maria Christina Paixão Maioli, Andrea Ribeiro Soares, Ricardo Bedirian, Ursula David Alves, Cirlene de Lima Marinho, Agnaldo José Lopes	2016	7	TRUE	NA	NA	B3
Journal of Back and Musculoskeletal Rehabilitation	2019-10-01	2020-07-21	2020-07-20	10.3233/bmr-181452	2023-05-31	1878-6324,1053-8127	4	2020-07-20	7437	655-667	10.3233	IOS Press	1	Crossref	73	73	12	Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Respiratory muscle training in non-athletes and athletes with spinal cord injury: A systematic review of the effects on pulmonary function, respiratory muscle strength and endurance, and cardiorespiratory fitness based on the FITT principle of exercise prescription	journal-article	http://dx.doi.org/10.3233/bmr-181452	33	NA	BMR	NA	NA	NA	NA	NA	NA	NA	Júlia Ribeiro Lemos, Felipe Amorim da Cunha, Agnaldo José Lopes, Fernando Silva Guimarães, Fabrício Vieira do Amaral Vasconcellos, Patrícia dos Santos Vigário	2020	12	FALSE	2.4	0,421	A4
PLOS ONE	2017-12-08	2022-08-10	NA	10.1371/journal.pone.0187833	2022-08-10	1932-6203	12	2017-12-08	340	e0187833	10.1371	Public Library of Science (PLoS)	1	Crossref	88	88	7	Multidisciplinary	Respiratory resistance and reactance in adults with sickle cell anemia: Correlation with functional exercise capacity and diagnostic use	journal-article	http://dx.doi.org/10.1371/journal.pone.0187833	12	NA	PLoS ONE	2017-12-08	en	http://dx.doi.org/10.1371/journal.pone.corrections_policy	NA	NA	NA	NA	Cirlene de Lima Marinho, Maria Christina Paixão Maioli, Jorge Luis Machado do Amaral, Agnaldo José Lopes, Pedro Lopes de Melo	2017	7	TRUE	6.0	0,885	A1
PLOS ONE	2019-03-07	2022-09-13	NA	10.1371/journal.pone.0213257	2022-09-13	1932-6203	3	2019-03-07	340	e0213257	10.1371	Public Library of Science (PLoS)	1	Crossref	65	65	5	Multidisciplinary	Respiratory resistance and reactance in adults with sickle cell anemia: Part 2—Fractional-order modeling and a clinical decision support system for the diagnosis of respiratory disorders	journal-article	http://dx.doi.org/10.1371/journal.pone.0213257	14	NA	PLoS ONE	2019-03-07	en	http://dx.doi.org/10.1371/journal.pone.corrections_policy	NA	NA	NA	NA	Cirlene de Lima Marinho, Maria Christina Paixão Maioli, Jorge Luis Machado do Amaral, Agnaldo José Lopes, Pedro Lopes de Melo	2019	5	TRUE	6.0	0,885	A1
Neurology International	2014-11-14	2020-10-27	NA	10.4081/ni.2014.5442	2022-04-01	2035-8377,2035-8385	4	2014-11-14	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	1	Neurology (clinical)	Resting metabolic rate analysis in chronic hemiparesis patients	journal-article	http://dx.doi.org/10.4081/ni.2014.5442	6	<jats:p>The objective of the present study was to compare resting metabolic rate (RMR) of chronic hemiparetic patients to sedentary health individuals. The sample was composed of 16 individuals, that were divided into two groups. The first group had eight hemiparetic patients and the second group was formed by eight sedentary individuals. To access and analyze the gases information a VO2000 analyzer was used. The following variables were measured: VO2, VCO2, VE, QR, grams of fat (GrFAT), grams of carbohydrate. RMR was calculated based on Weir’s equation. There was a significant shift on ventilation variables: VE (P&amp;lt;0.0003), VO2 (P&amp;lt;0.0004) and VCO2 (P&amp;lt;0.0001) on hemiparetic individuals group when compared to control group. When the energetic substrate used behavior is observed, it shows that fat consumption (represented by GrFAT) is higher on the hemiparetic group when compared to controls (P&amp;lt;0.0001) significant differences were observed for RMR between groups (P&amp;lt;0.0001). RMR showed a correlation to VO2 on the hemiparetic group (r=0.9277, P=0.0022). To sum up, it was observed through the results that individuals with hemiparesis as a sequel of stroke showed a RMR larger than normal individuals.</jats:p>	Neurol Int	2014-11-14	NA	NA	NA	NA	NA	NA	Mauricio De Sant’Anna Jr, Leonardo Coelho Eboli, Julio Guilherme Silva, Alan Gomes Dos Santos, Michele Lourenco, Adalgiza Mafra Moreno, Gabriel Rodriguez De Freitas, Marco Orsini	2014	1	TRUE	2.2	0,448	B2
PLOS ONE	2019-07-10	2020-05-09	NA	10.1371/journal.pone.0219556	2022-03-30	1932-6203	7	2019-07-10	340	e0219556	10.1371	Public Library of Science (PLoS)	1	Crossref	32	32	1	Multidisciplinary	Return to self-reported physical activity level after an event of acute low back pain	journal-article	http://dx.doi.org/10.1371/journal.pone.0219556	14	NA	PLoS ONE	2019-07-10	en	http://dx.doi.org/10.1371/journal.pone.corrections_policy	NA	NA	NA	NA	Daniel Pozzobon, Leandro A. Calazans Nogueira, Paulo H. Ferreira, Daniel Steffens, Paula R. Beckenkamp, Fiona M. Blyth, Manuela L. Ferreira	2019	1	TRUE	6.0	0,885	A1
Motriz: Revista de Educação Física	2021-12-17	2021-12-17	NA	10.1590/s1980-657420220018921	2022-04-04	1980-6574	spe1	2022	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	25	25	0	General Medicine,Health (social science)	Running velocity at maximum oxygen uptake and at maximum effort: important variables for female military pentathlon	journal-article	http://dx.doi.org/10.1590/s1980-657420220018921	28	NA	Motriz: rev. educ. fis.	2022	NA	NA	NA	NA	NA	NA	Míriam Raquel Meira Mainenti, Patrícia dos Santos Vigário, Hugo Brito Batista, Luiz Fernando Valverde Bastos, Danielli Braga de Mello	2022	0	TRUE	NA	0,223	B1
Respiratory Care	2019-03-26	2022-09-30	2019-10	10.4187/respcare.06367	2022-10-01	0020-1324,1943-3654	10	2019-03-26	2694	1286-1292	10.4187	Daedalus Enterprises	1	Crossref	0	0	1	Critical Care and Intensive Care Medicine,Pulmonary and Respiratory Medicine,General Medicine	Serial Weekly Measurements of the Timed Inspiratory Effort Index Can Predict Successful Prolonged Weaning	journal-article	http://dx.doi.org/10.4187/respcare.06367	64	NA	Respir Care	2019-03-26	en	NA	NA	NA	NA	NA	Bruno Leonardo da Silva Guimarães, Leonardo Cordeiro de Souza, Fernando Silva Guimarães, Jocemir Ronaldo Lugon	2019	1	TRUE	4.1	0,656	A3
Neurology International	2015-04-09	2020-10-27	NA	10.4081/ni.2015.5430	2023-03-25	2035-8377,2035-8385	1	2015-03-26	1968	NA	10.3390	MDPI AG	1	Crossref	0	0	14	Neurology (clinical)	Similar effects of two modified constraint-induced therapy protocols on motor impairment, motor function and quality of life in patients with chronic stroke	journal-article	http://dx.doi.org/10.4081/ni.2015.5430	7	<jats:p>Modified constraint-induced movement therapy (CIMT) protocols show motor function and real-world arm use improvement. Meanwhile it usually requires constant supervision by physiotherapists and is therefore more expensive than customary care. This study compared the preliminary efficacy of two modified CIMT protocols. A two-group randomized controlled trial with pre and post treatment measures and six months follow-up was conducted. Nineteen patients with chronic stroke received 10 treatment sessions distributed three to four times a week over 22 days. CIMT3h_direct group received 3 hours of CIMT supervised by a therapist (n=10) while CIMT1.5h_direct group had 1.5 hours of supervised CIMT+1.5 hours home exercises supervised by a caregiver (n=9). Outcome measures were the Fugl-Meyer Assessment, the Motor Activity Log, and the Stroke Specific Quality of Life Scale. The modified CIMT protocols were feasible and well tolerated. Improvements in motor function, real-world arm use and quality of life did not differ significantly between treated groups receiving either 3 or 1.5 hours mCIMT supervised by a therapist.</jats:p>	Neurol Int	2015-03-26	NA	NA	NA	NA	NA	NA	Wilma Costa Souza, Adriana B. Conforto, Marco Orsini, Annette Stern, Charles André	2015	14	TRUE	2.2	0,448	B2
Revista Neurociências	2014-02-05	2020-02-28	NA	10.4181/rnc.2013.21.895.16p	2022-04-05	0104-3579,1984-4905	04	2014-02-05	19929	604-619	10.34024	Universidade Federal de Sao Paulo	1	Crossref	0	0	2	Neurology (clinical),Neurology	Simulação Mental de Movimentos: Da Teoria à Aplicação na Reabilitação Motora	journal-article	http://dx.doi.org/10.4181/rnc.2013.21.895.16p	21	NA	RNC	2014-02-05	NA	NA	NA	NA	NA	NA	Aline Bastos, Gabriela Souza, Talita Pinto, Maitê Souza, Thiago Lemos, Luís Imbiriba	2014	2	TRUE	NA	NA	B2
Supportive Care in Cancer	2015-07-04	2019-05-29	2016-02	10.1007/s00520-015-2835-1	2022-06-21	0941-4355,1433-7339	2	2015-07-05	297	731-736	10.1007	Springer Science and Business Media LLC	1	Crossref	33	33	16	Oncology	Skeletal related events in patients with bone metastasis arising from non-small cell lung cancer	journal-article	http://dx.doi.org/10.1007/s00520-015-2835-1	24	NA	Support Care Cancer	2015-07-05	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Gustavo Telles da Silva, Anke Bergmann, Luiz Claudio Santos Thuler	2015	16	FALSE	5.1	0,984	A2
